ax_clip,deltaf_clip_deg,timestep
5.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
4.490221500396728516e+00,7.000000000000000000e+00,2.000000000000000000e+00
4.220712184906005859e+00,3.362241506576538086e+00,3.000000000000000000e+00
4.457164764404296875e+00,-3.665299177169799805e+00,4.000000000000000000e+00
4.743990898132324219e+00,-7.000000000000000000e+00,5.000000000000000000e+00
4.199923992156982422e+00,-7.000000000000000000e+00,6.000000000000000000e+00
3.225517511367797852e+00,-7.000000000000000000e+00,7.000000000000000000e+00
2.667105913162231445e+00,-3.585145950317382812e+00,8.000000000000000000e+00
2.837206602096557617e+00,9.865818023681640625e-01,9.000000000000000000e+00
3.311953306198120117e+00,2.577919960021972656e+00,1.000000000000000000e+01
3.332993268966674805e+00,1.521547555923461914e+00,1.100000000000000000e+01
2.970321655273437500e+00,1.689658164978027344e+00,1.200000000000000000e+01
2.576664447784423828e+00,8.070700764656066895e-01,1.300000000000000000e+01
2.267184495925903320e+00,-7.153564095497131348e-01,1.400000000000000000e+01
2.048440456390380859e+00,-2.099400043487548828e+00,1.500000000000000000e+01
1.844411969184875488e+00,-2.556077241897583008e+00,1.600000000000000000e+01
1.625364780426025391e+00,-1.700686216354370117e+00,1.700000000000000000e+01
1.454867005348205566e+00,1.887549906969070435e-01,1.800000000000000000e+01
1.362631916999816895e+00,2.234213352203369141e+00,1.900000000000000000e+01
7.544199228286743164e-01,3.349349021911621094e+00,2.000000000000000000e+01
-5.268747732043266296e-02,2.797761440277099609e+00,2.100000000000000000e+01
-8.362610936164855957e-01,7.462828159332275391e-01,2.200000000000000000e+01
-1.367406129837036133e+00,-1.629563570022583008e+00,2.300000000000000000e+01
-1.805013656616210938e+00,-3.042668819427490234e+00,2.400000000000000000e+01
-2.312911033630371094e+00,-2.550110578536987305e+00,2.500000000000000000e+01
-2.839422941207885742e+00,-1.083356738090515137e-01,2.600000000000000000e+01
-3.282014131546020508e+00,3.274283885955810547e+00,2.700000000000000000e+01
-3.585520029067993164e+00,5.936885356903076172e+00,2.800000000000000000e+01
-3.942200422286987305e+00,6.381895542144775391e+00,2.900000000000000000e+01
-4.346029281616210938e+00,4.161213874816894531e+00,3.000000000000000000e+01
-4.379645347595214844e+00,3.185074031352996826e-01,3.100000000000000000e+01
-4.095556735992431641e+00,-2.950821638107299805e+00,3.200000000000000000e+01
-3.970909833908081055e+00,-3.411947488784790039e+00,3.300000000000000000e+01
-4.319019794464111328e+00,-3.049780845642089844e+00,3.400000000000000000e+01
-4.675379753112792969e+00,-9.587453603744506836e-01,3.500000000000000000e+01
-4.856117725372314453e+00,2.048708200454711914e+00,3.600000000000000000e+01
-4.923285484313964844e+00,4.374315738677978516e+00,3.700000000000000000e+01
-5.000000000000000000e+00,4.607342720031738281e+00,3.800000000000000000e+01
-5.000000000000000000e+00,2.396410703659057617e+00,3.900000000000000000e+01
-5.000000000000000000e+00,-1.225602269172668457e+00,4.000000000000000000e+01
-5.000000000000000000e+00,-4.344242095947265625e+00,4.100000000000000000e+01
-5.000000000000000000e+00,-5.191561698913574219e+00,4.200000000000000000e+01
-5.000000000000000000e+00,-3.122688770294189453e+00,4.300000000000000000e+01
-5.000000000000000000e+00,9.483034014701843262e-01,4.400000000000000000e+01
-5.000000000000000000e+00,4.899772167205810547e+00,4.500000000000000000e+01
-5.000000000000000000e+00,6.458372116088867188e+00,4.600000000000000000e+01
-5.000000000000000000e+00,4.567705631256103516e+00,4.700000000000000000e+01
-5.000000000000000000e+00,1.750631928443908691e-01,4.800000000000000000e+01
-5.000000000000000000e+00,-4.300049304962158203e+00,4.900000000000000000e+01
-5.000000000000000000e+00,-6.365220069885253906e+00,5.000000000000000000e+01
-5.000000000000000000e+00,-4.814051628112792969e+00,5.100000000000000000e+01
-5.000000000000000000e+00,-3.998057544231414795e-01,5.200000000000000000e+01
-5.000000000000000000e+00,4.497515201568603516e+00,5.300000000000000000e+01
-5.000000000000000000e+00,7.000000000000000000e+00,5.400000000000000000e+01
-5.000000000000000000e+00,5.767096996307373047e+00,5.500000000000000000e+01
-5.000000000000000000e+00,1.428954839706420898e+00,5.600000000000000000e+01
-5.000000000000000000e+00,-3.391036987304687500e+00,5.700000000000000000e+01
-5.000000000000000000e+00,-5.958142280578613281e+00,5.800000000000000000e+01
-5.000000000000000000e+00,-4.914448738098144531e+00,5.900000000000000000e+01
-5.000000000000000000e+00,-9.533911347389221191e-01,6.000000000000000000e+01
-5.000000000000000000e+00,2.064930677413940430e+00,6.100000000000000000e+01
-5.000000000000000000e+00,8.276877999305725098e-01,6.200000000000000000e+01
-5.000000000000000000e+00,-1.845915079116821289e+00,6.300000000000000000e+01
-5.000000000000000000e+00,-3.836499929428100586e+00,6.400000000000000000e+01
-5.000000000000000000e+00,-3.975335597991943359e+00,6.500000000000000000e+01
-5.000000000000000000e+00,-2.345958709716796875e+00,6.600000000000000000e+01
-5.000000000000000000e+00,-3.185580253601074219e+00,6.700000000000000000e+01
-5.000000000000000000e+00,-5.225044727325439453e+00,6.800000000000000000e+01
-5.000000000000000000e+00,-6.479789257049560547e+00,6.900000000000000000e+01
-5.000000000000000000e+00,-6.096231937408447266e+00,7.000000000000000000e+01
-4.502496719360351562e+00,-2.350460767745971680e+00,7.100000000000000000e+01
-3.943430185317993164e+00,2.475178480148315430e+00,7.200000000000000000e+01
-3.484139919281005859e+00,6.367218017578125000e+00,7.300000000000000000e+01
-3.255700111389160156e+00,7.000000000000000000e+00,7.400000000000000000e+01
-3.096134424209594727e+00,7.000000000000000000e+00,7.500000000000000000e+01
-2.833623886108398438e+00,7.000000000000000000e+00,7.600000000000000000e+01
-2.525307178497314453e+00,7.000000000000000000e+00,7.700000000000000000e+01
-2.230416774749755859e+00,7.000000000000000000e+00,7.800000000000000000e+01
-1.968437552452087402e+00,7.000000000000000000e+00,7.900000000000000000e+01
-1.740954279899597168e+00,7.000000000000000000e+00,8.000000000000000000e+01
-1.544443964958190918e+00,7.000000000000000000e+00,8.100000000000000000e+01
-1.374665737152099609e+00,7.000000000000000000e+00,8.200000000000000000e+01
-1.227821469306945801e+00,7.000000000000000000e+00,8.300000000000000000e+01
-1.100667834281921387e+00,7.000000000000000000e+00,8.400000000000000000e+01
-9.904481172561645508e-01,7.000000000000000000e+00,8.500000000000000000e+01
-8.948351740837097168e-01,6.119620323181152344e+00,8.600000000000000000e+01
-8.004307746887207031e-01,7.000000000000000000e+00,8.700000000000000000e+01
-7.150751352310180664e-01,7.000000000000000000e+00,8.800000000000000000e+01
-6.717995405197143555e-01,7.000000000000000000e+00,8.900000000000000000e+01
-6.235830783843994141e-01,7.000000000000000000e+00,9.000000000000000000e+01
-5.772178173065185547e-01,7.000000000000000000e+00,9.100000000000000000e+01
-5.358895063400268555e-01,7.000000000000000000e+00,9.200000000000000000e+01
-4.997709095478057861e-01,7.000000000000000000e+00,9.300000000000000000e+01
-4.683155715465545654e-01,7.000000000000000000e+00,9.400000000000000000e+01
-4.409298896789550781e-01,7.000000000000000000e+00,9.500000000000000000e+01
-4.170778989791870117e-01,7.000000000000000000e+00,9.600000000000000000e+01
-3.963090777397155762e-01,7.000000000000000000e+00,9.700000000000000000e+01
-3.782177567481994629e-01,7.000000000000000000e+00,9.800000000000000000e+01
-3.624559342861175537e-01,7.000000000000000000e+00,9.900000000000000000e+01
-3.487203717231750488e-01,7.000000000000000000e+00,1.000000000000000000e+02
-3.367527723312377930e-01,7.000000000000000000e+00,1.010000000000000000e+02
-3.263245820999145508e-01,7.000000000000000000e+00,1.020000000000000000e+02
-3.172330260276794434e-01,7.000000000000000000e+00,1.030000000000000000e+02
-3.093136847019195557e-01,7.000000000000000000e+00,1.040000000000000000e+02
-3.024064004421234131e-01,7.000000000000000000e+00,1.050000000000000000e+02
-2.963894903659820557e-01,7.000000000000000000e+00,1.060000000000000000e+02
-2.911390960216522217e-01,7.000000000000000000e+00,1.070000000000000000e+02
