x,y,vx,vy,theta,dtheta,bw,bh,timestep
-9.000000000000000000e+01,-3.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.625000000000000000e+00,1.646999955177307129e+00,0.000000000000000000e+00
-8.888888549804687500e+01,-3.000000000000000000e+00,8.090000152587890625e+01,2.238886117935180664e+00,0.000000000000000000e+00,3.773597717285156250e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.000000000000000000e+00
-8.776527404785156250e+01,-2.968904256820678711e+00,8.199491119384765625e+01,8.295257687568664551e-01,1.886795043945312500e+00,5.964339065551757812e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.000000000000000000e+00
-8.662645721435546875e+01,-2.957382917404174805e+00,8.278546905517578125e+01,-3.235120773315429688e-01,4.868957519531250000e+00,7.197567749023437500e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.000000000000000000e+00
-8.547665405273437500e+01,-2.961875915527343750e+00,8.311249542236328125e+01,-1.152126789093017578e+00,8.467744827270507812e+00,5.895475769042968750e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.000000000000000000e+00
-8.432231903076171875e+01,-2.977878570556640625e+00,8.328982543945312500e+01,-5.951089859008789062e-01,1.141548252105712891e+01,1.258082294464111328e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.000000000000000000e+00
-8.316551971435546875e+01,-2.986142158508300781e+00,8.350519561767578125e+01,3.975238800048828125e+00,1.204452610015869141e+01,-3.275922775268554688e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.000000000000000000e+00
-8.200572967529296875e+01,-2.930930137634277344e+00,8.377208709716796875e+01,1.020409965515136719e+01,1.040657234191894531e+01,-5.854262542724609375e+01,2.625000000000000000e+00,1.646999955177307129e+00,7.000000000000000000e+00
-8.084223175048828125e+01,-2.789205551147460938e+00,8.405564880371093750e+01,1.455376052856445312e+01,7.479430675506591797e+00,-7.290408325195312500e+01,2.625000000000000000e+00,1.646999955177307129e+00,8.000000000000000000e+00
-7.967479705810546875e+01,-2.587070465087890625e+00,8.395993804931640625e+01,1.733270645141601562e+01,3.834228515625000000e+00,-6.221315383911132812e+01,2.625000000000000000e+00,1.646999955177307129e+00,9.000000000000000000e+00
-7.850868988037109375e+01,-2.346338272094726562e+00,8.387160491943359375e+01,1.725852966308593750e+01,7.235717773437500000e-01,-3.007688522338867188e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.000000000000000000e+01
-7.734380340576171875e+01,-2.106636285781860352e+00,8.423448181152343750e+01,1.332029056549072266e+01,-7.802734375000000000e-01,-1.724364995956420898e+00,2.625000000000000000e+00,1.646999955177307129e+00,1.100000000000000000e+01
-7.617387390136718750e+01,-1.921632170677185059e+00,8.481941986083984375e+01,7.704053878784179688e+00,-8.664855957031250000e-01,9.052237510681152344e+00,2.625000000000000000e+00,1.646999955177307129e+00,1.200000000000000000e+01
-7.499583435058593750e+01,-1.814631342887878418e+00,8.542574310302734375e+01,3.735286235809326172e+00,-4.138794243335723877e-01,1.561473846435546875e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.300000000000000000e+01
-7.380935668945312500e+01,-1.762752413749694824e+00,8.594486999511718750e+01,9.904290437698364258e-01,3.668518066406250000e-01,1.419533729553222656e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.400000000000000000e+01
-7.261567687988281250e+01,-1.748996376991271973e+00,8.636452484130859375e+01,-4.798367619514465332e-01,1.076614379882812500e+00,4.683771610260009766e+00,2.625000000000000000e+00,1.646999955177307129e+00,1.500000000000000000e+01
-7.141616821289062500e+01,-1.755660772323608398e+00,8.674154663085937500e+01,-6.152983903884887695e-01,1.310806393623352051e+00,-8.773314476013183594e+00,2.625000000000000000e+00,1.646999955177307129e+00,1.600000000000000000e+01
-7.021142578125000000e+01,-1.764206647872924805e+00,8.710135650634765625e+01,3.194224834442138672e-01,8.721467256546020508e-01,-1.937887001037597656e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.700000000000000000e+01
-6.900168609619140625e+01,-1.759770154953002930e+00,8.740366363525390625e+01,1.663096904754638672e+00,-9.680176526308059692e-02,-2.097889518737792969e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.800000000000000000e+01
-6.778774261474609375e+01,-1.736671686172485352e+00,8.763435363769531250e+01,2.566254377365112305e+00,-1.145751953125000000e+00,-1.143740367889404297e+01,2.625000000000000000e+00,1.646999955177307129e+00,1.900000000000000000e+01
-6.657060241699218750e+01,-1.701029539108276367e+00,8.786247253417968750e+01,2.363724708557128906e+00,-1.717620849609375000e+00,5.657403945922851562e+00,2.625000000000000000e+00,1.646999955177307129e+00,2.000000000000000000e+01
-6.535028839111328125e+01,-1.668200016021728516e+00,8.804527282714843750e+01,9.403064250946044922e-01,-1.434753537178039551e+00,2.210091400146484375e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.100000000000000000e+01
-6.412744140625000000e+01,-1.655139923095703125e+00,8.808892059326171875e+01,-1.146535038948059082e+00,-3.297119438648223877e-01,2.888598060607910156e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.200000000000000000e+01
-6.290398788452148438e+01,-1.671064138412475586e+00,8.791514587402343750e+01,-2.853924989700317383e+00,1.114593505859375000e+00,2.149274253845214844e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.300000000000000000e+01
-6.168294525146484375e+01,-1.710701942443847656e+00,8.760884094238281250e+01,-3.142951011657714844e+00,2.189224243164062500e+00,3.685218334197998047e+00,2.625000000000000000e+00,1.646999955177307129e+00,2.400000000000000000e+01
-6.046615982055664062e+01,-1.754354000091552734e+00,8.727859497070312500e+01,-1.725827217102050781e+00,2.373489856719970703e+00,-1.497879123687744141e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.500000000000000000e+01
-5.925395965576171875e+01,-1.778323888778686523e+00,8.688539123535156250e+01,7.917530536651611328e-01,1.624542236328125000e+00,-2.344584465026855469e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.600000000000000000e+01
-5.804721832275390625e+01,-1.767327308654785156e+00,8.634103393554687500e+01,3.206278085708618164e+00,4.522553384304046631e-01,-1.490655326843261719e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.700000000000000000e+01
-5.684803771972656250e+01,-1.722795724868774414e+00,8.572906494140625000e+01,4.309861660003662109e+00,-2.930755913257598877e-01,9.029351234436035156e+00,2.625000000000000000e+00,1.646999955177307129e+00,2.800000000000000000e+01
-5.565736007690429688e+01,-1.662936687469482422e+00,8.523368072509765625e+01,3.537394762039184570e+00,1.583862304687500000e-01,3.799169921875000000e+01,2.625000000000000000e+00,1.646999955177307129e+00,2.900000000000000000e+01
-5.447356033325195312e+01,-1.613806128501892090e+00,8.477021026611328125e+01,1.366653442382812500e+00,2.057968378067016602e+00,5.740483093261718750e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.000000000000000000e+01
-5.329619598388671875e+01,-1.594824910163879395e+00,8.400730133056640625e+01,-8.388102054595947266e-01,4.928206443786621094e+00,5.620655059814453125e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.100000000000000000e+01
-5.212943267822265625e+01,-1.606475353240966797e+00,8.286517333984375000e+01,-1.436143875122070312e+00,7.738540649414062500e+00,3.364035034179687500e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.200000000000000000e+01
-5.097852706909179688e+01,-1.626422405242919922e+00,8.159222412109375000e+01,6.268472671508789062e-01,9.420564651489257812e+00,1.869634509086608887e+00,2.625000000000000000e+00,1.646999955177307129e+00,3.300000000000000000e+01
-4.984530258178710938e+01,-1.617716789245605469e+00,8.030056762695312500e+01,4.962923049926757812e+00,9.514037132263183594e+00,-1.903789138793945312e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.400000000000000000e+01
-4.873001861572265625e+01,-1.548786640167236328e+00,7.910224151611328125e+01,8.949300765991210938e+00,8.562149047851562500e+00,-2.838650512695312500e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.500000000000000000e+01
-4.763137435913085938e+01,-1.424490451812744141e+00,7.791513824462890625e+01,1.178577899932861328e+01,7.142822265625000000e+00,-2.161578559875488281e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.600000000000000000e+01
-4.654922103881835938e+01,-1.260798931121826172e+00,7.686606597900390625e+01,1.287534999847412109e+01,6.062027931213378906e+00,-8.079020977020263672e-01,2.625000000000000000e+00,1.646999955177307129e+00,3.700000000000000000e+01
-4.548163986206054688e+01,-1.081974983215332031e+00,7.614089202880859375e+01,1.207114410400390625e+01,6.021636962890625000e+00,2.378502273559570312e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.800000000000000000e+01
-4.442412567138671875e+01,-9.143199920654296875e-01,7.564066314697265625e+01,1.000789260864257812e+01,7.210892200469970703e+00,3.850540924072265625e+01,2.625000000000000000e+00,1.646999955177307129e+00,3.900000000000000000e+01
-4.337356567382812500e+01,-7.753214836120605469e-01,7.503759765625000000e+01,7.930048942565917969e+00,9.136169433593750000e+00,3.403602981567382812e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.000000000000000000e+01
-4.233137512207031250e+01,-6.651825904846191406e-01,7.414430236816406250e+01,7.122902870178222656e+00,1.083796787261962891e+01,1.122200775146484375e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.100000000000000000e+01
-4.130159759521484375e+01,-5.662536621093750000e-01,7.307010650634765625e+01,8.214380264282226562e+00,1.139906311035156250e+01,-1.844394683837890625e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.200000000000000000e+01
-4.028673171997070312e+01,-4.521651268005371094e-01,7.192774963378906250e+01,1.069963359832763672e+01,1.047686862945556641e+01,-3.866990280151367188e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.300000000000000000e+01
-3.928773880004882812e+01,-3.035597801208496094e-01,7.069950866699218750e+01,1.322586536407470703e+01,8.543366432189941406e+00,-3.748693847656250000e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.400000000000000000e+01
-3.830580520629882812e+01,-1.198678016662597656e-01,6.952870941162109375e+01,1.440677261352539062e+01,6.669021606445312500e+00,-1.395396232604980469e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.500000000000000000e+01
-3.734012603759765625e+01,8.022642135620117188e-02,6.876788330078125000e+01,1.354891490936279297e+01,5.971328258514404297e+00,2.023627853393554688e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.600000000000000000e+01
-3.638500976562500000e+01,2.684061527252197266e-01,6.845638275146484375e+01,1.107332420349121094e+01,6.983139514923095703e+00,4.600971984863281250e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.700000000000000000e+01
-3.543422698974609375e+01,4.222021102905273438e-01,6.810692596435546875e+01,8.320201873779296875e+00,9.283632278442382812e+00,4.809283447265625000e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.800000000000000000e+01
-3.448829650878906250e+01,5.377612113952636719e-01,6.731889343261718750e+01,6.839662075042724609e+00,1.168827819824218750e+01,2.434232139587402344e+01,2.625000000000000000e+00,1.646999955177307129e+00,4.900000000000000000e+01
-3.355331039428710938e+01,6.327567100524902344e-01,6.621534729003906250e+01,7.564483165740966797e+00,1.290539550781250000e+01,-1.246042823791503906e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.000000000000000000e+01
-3.263365173339843750e+01,7.378191947937011719e-01,6.505166625976562500e+01,1.009227371215820312e+01,1.228237819671630859e+01,-4.148233413696289062e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.100000000000000000e+01
-3.173015594482421875e+01,8.779897689819335938e-01,6.381867980957031250e+01,1.289887523651123047e+01,1.020826911926269531e+01,-4.626171493530273438e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.200000000000000000e+01
-3.084378433227539062e+01,1.057140827178955078e+00,6.257775497436523438e+01,1.441008567810058594e+01,7.895187854766845703e+00,-2.361343193054199219e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.300000000000000000e+01
-2.997465133666992188e+01,1.257280826568603516e+00,6.173075866699218750e+01,1.382436561584472656e+01,6.714508056640625000e+00,1.435827350616455078e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.400000000000000000e+01
-2.911727905273437500e+01,1.449285984039306641e+00,6.144361114501953125e+01,1.149323272705078125e+01,7.432419300079345703e+00,4.532551574707031250e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.500000000000000000e+01
