x,y,vx,vy,theta,dtheta,bw,bh,timestep
7.250000762939453125e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
7.166667175292968750e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
7.083333587646484375e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000000e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
6.916666412353515625e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
6.833332824707031250e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
6.749999237060546875e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00
6.666665649414062500e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00
6.583332061767578125e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00
6.499998474121093750e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00
