reward,timestep
1.114999968558549881e-02,0.000000000000000000e+00
1.070135738700628281e-02,1.000000000000000000e+00
9.946217760443687439e-03,2.000000000000000000e+00
5.824773106724023819e-03,3.000000000000000000e+00
6.343361455947160721e-03,4.000000000000000000e+00
1.027471385896205902e-02,5.000000000000000000e+00
9.552117437124252319e-03,6.000000000000000000e+00
8.383736014366149902e-03,7.000000000000000000e+00
4.850079305469989777e-03,8.000000000000000000e+00
5.351435393095016479e-03,9.000000000000000000e+00
8.388536050915718079e-03,1.000000000000000000e+01
1.021385192871093750e-02,1.100000000000000000e+01
1.183502934873104095e-02,1.200000000000000000e+01
1.247225981205701828e-02,1.300000000000000000e+01
1.284566894173622131e-02,1.400000000000000000e+01
1.329468376934528351e-02,1.500000000000000000e+01
1.337648462504148483e-02,1.600000000000000000e+01
1.286478433758020401e-02,1.700000000000000000e+01
1.257961243391036987e-02,1.800000000000000000e+01
1.328439079225063324e-02,1.900000000000000000e+01
1.416076812893152237e-02,2.000000000000000000e+01
1.411024015396833420e-02,2.100000000000000000e+01
1.356278825551271439e-02,2.200000000000000000e+01
1.370447408407926559e-02,2.300000000000000000e+01
1.408322155475616455e-02,2.400000000000000000e+01
1.354896556586027145e-02,2.500000000000000000e+01
1.289007533341646194e-02,2.600000000000000000e+01
1.429005619138479233e-02,2.700000000000000000e+01
1.734375208616256714e-02,2.800000000000000000e+01
1.868309453129768372e-02,2.900000000000000000e+01
1.707373186945915222e-02,3.000000000000000000e+01
1.555548794567584991e-02,3.100000000000000000e+01
1.611992344260215759e-02,3.200000000000000000e+01
1.614058203995227814e-02,3.300000000000000000e+01
1.622113771736621857e-02,3.400000000000000000e+01
1.628903113305568695e-02,3.500000000000000000e+01
1.794321648776531219e-02,3.600000000000000000e+01
2.107160910964012146e-02,3.700000000000000000e+01
2.307320944964885712e-02,3.800000000000000000e+01
2.320529520511627197e-02,3.900000000000000000e+01
2.414422668516635895e-02,4.000000000000000000e+01
2.695201523602008820e-02,4.100000000000000000e+01
2.873734012246131897e-02,4.200000000000000000e+01
2.817774564027786255e-02,4.300000000000000000e+01
2.877156622707843781e-02,4.400000000000000000e+01
3.287709131836891174e-02,4.500000000000000000e+01
3.662941977381706238e-02,4.600000000000000000e+01
3.643145784735679626e-02,4.700000000000000000e+01
3.588913381099700928e-02,4.800000000000000000e+01
3.885035216808319092e-02,4.900000000000000000e+01
4.198369011282920837e-02,5.000000000000000000e+01
4.132176190614700317e-02,5.100000000000000000e+01
4.042774438858032227e-02,5.200000000000000000e+01
4.419538751244544983e-02,5.300000000000000000e+01
4.904139414429664612e-02,5.400000000000000000e+01
4.939647391438484192e-02,5.500000000000000000e+01
4.787255823612213135e-02,5.600000000000000000e+01
5.002204328775405884e-02,5.700000000000000000e+01
5.341453477740287781e-02,5.800000000000000000e+01
5.337832495570182800e-02,5.900000000000000000e+01
5.244591832160949707e-02,6.000000000000000000e+01
5.447895079851150513e-02,6.100000000000000000e+01
5.599222704768180847e-02,6.200000000000000000e+01
5.800661072134971619e-02,6.300000000000000000e+01
6.048955768346786499e-02,6.400000000000000000e+01
6.167552247643470764e-02,6.500000000000000000e+01
6.164446845650672913e-02,6.600000000000000000e+01
6.313682347536087036e-02,6.700000000000000000e+01
6.588096916675567627e-02,6.800000000000000000e+01
6.815940886735916138e-02,6.900000000000000000e+01
6.823147088289260864e-02,7.000000000000000000e+01
6.503818929195404053e-02,7.100000000000000000e+01
6.462372839450836182e-02,7.200000000000000000e+01
6.729964911937713623e-02,7.300000000000000000e+01
6.708341836929321289e-02,7.400000000000000000e+01
6.563911586999893188e-02,7.500000000000000000e+01
6.378526985645294189e-02,7.600000000000000000e+01
6.177246198058128357e-02,7.700000000000000000e+01
5.976549908518791199e-02,7.800000000000000000e+01
5.781866610050201416e-02,7.900000000000000000e+01
5.594192072749137878e-02,8.000000000000000000e+01
5.413193255662918091e-02,8.100000000000000000e+01
5.238024145364761353e-02,8.200000000000000000e+01
5.068484693765640259e-02,8.300000000000000000e+01
4.904204607009887695e-02,8.400000000000000000e+01
4.744793847203254700e-02,8.500000000000000000e+01
4.474462568759918213e-02,8.600000000000000000e+01
4.439462721347808838e-02,8.700000000000000000e+01
4.289546608924865723e-02,8.800000000000000000e+01
4.149964451789855957e-02,8.900000000000000000e+01
4.011356830596923828e-02,9.000000000000000000e+01
3.875973820686340332e-02,9.100000000000000000e+01
3.744019195437431335e-02,9.200000000000000000e+01
3.616627305746078491e-02,9.300000000000000000e+01
3.493324294686317444e-02,9.400000000000000000e+01
3.374405577778816223e-02,9.500000000000000000e+01
3.259607776999473572e-02,9.600000000000000000e+01
3.149566799402236938e-02,9.700000000000000000e+01
3.043227270245552063e-02,9.800000000000000000e+01
2.941703051328659058e-02,9.900000000000000000e+01
2.844854071736335754e-02,1.000000000000000000e+02
2.751841023564338684e-02,1.010000000000000000e+02
2.663623169064521790e-02,1.020000000000000000e+02
2.580199763178825378e-02,1.030000000000000000e+02
2.501572668552398682e-02,1.040000000000000000e+02
2.427015081048011780e-02,1.050000000000000000e+02
2.357186749577522278e-02,1.060000000000000000e+02
2.292202413082122803e-02,1.070000000000000000e+02
2.232073619961738586e-02,1.080000000000000000e+02
2.176809683442115784e-02,1.090000000000000000e+02
2.126426994800567627e-02,1.100000000000000000e+02
1.949975639581680298e-02,1.110000000000000000e+02
1.676813885569572449e-02,1.120000000000000000e+02
1.543455384671688080e-02,1.130000000000000000e+02
1.481823716312646866e-02,1.140000000000000000e+02
1.455936860293149948e-02,1.150000000000000000e+02
1.459048502147197723e-02,1.160000000000000000e+02
1.384697295725345612e-02,1.170000000000000000e+02
1.306221168488264084e-02,1.180000000000000000e+02
1.269926782697439194e-02,1.190000000000000000e+02
1.245286967605352402e-02,1.200000000000000000e+02
1.216148398816585541e-02,1.210000000000000000e+02
1.191321108490228653e-02,1.220000000000000000e+02
1.178109645843505859e-02,1.230000000000000000e+02
1.164302229881286621e-02,1.240000000000000000e+02
1.141740847378969193e-02,1.250000000000000000e+02
1.119939330965280533e-02,1.260000000000000000e+02
1.099831890314817429e-02,1.270000000000000000e+02
1.081030257046222687e-02,1.280000000000000000e+02
1.063419878482818604e-02,1.290000000000000000e+02
1.047129835933446884e-02,1.300000000000000000e+02
1.031365431845188141e-02,1.310000000000000000e+02
1.015123073011636734e-02,1.320000000000000000e+02
9.983220137655735016e-03,1.330000000000000000e+02
9.816996753215789795e-03,1.340000000000000000e+02
9.661933407187461853e-03,1.350000000000000000e+02
9.518452920019626617e-03,1.360000000000000000e+02
9.363699704408645630e-03,1.370000000000000000e+02
9.239736013114452362e-03,1.380000000000000000e+02
9.094245731830596924e-03,1.390000000000000000e+02
8.968009613454341888e-03,1.400000000000000000e+02
8.851557970046997070e-03,1.410000000000000000e+02
8.738631382584571838e-03,1.420000000000000000e+02
8.625231683254241943e-03,1.430000000000000000e+02
8.509284816682338715e-03,1.440000000000000000e+02
8.390661329030990601e-03,1.450000000000000000e+02
8.271253667771816254e-03,1.460000000000000000e+02
8.155511692166328430e-03,1.470000000000000000e+02
8.051221258938312531e-03,1.480000000000000000e+02
7.984909228980541229e-03,1.490000000000000000e+02
7.869838736951351166e-03,1.500000000000000000e+02
7.803237531334161758e-03,1.510000000000000000e+02
7.705846801400184631e-03,1.520000000000000000e+02
7.630564272403717041e-03,1.530000000000000000e+02
7.563271094113588333e-03,1.540000000000000000e+02
7.499034516513347626e-03,1.550000000000000000e+02
7.436599582433700562e-03,1.560000000000000000e+02
7.379164919257164001e-03,1.570000000000000000e+02
7.363895885646343231e-03,1.580000000000000000e+02
7.283819373697042465e-03,1.590000000000000000e+02
7.233178243041038513e-03,1.600000000000000000e+02
7.199619896709918976e-03,1.610000000000000000e+02
7.186539005488157272e-03,1.620000000000000000e+02
7.178446277976036072e-03,1.630000000000000000e+02
7.100002840161323547e-03,1.640000000000000000e+02
7.081596646457910538e-03,1.650000000000000000e+02
7.114499807357788086e-03,1.660000000000000000e+02
7.073521148413419724e-03,1.670000000000000000e+02
7.042514625936746597e-03,1.680000000000000000e+02
7.080758456140756607e-03,1.690000000000000000e+02
7.036100141704082489e-03,1.700000000000000000e+02
7.058127317577600479e-03,1.710000000000000000e+02
7.084151729941368103e-03,1.720000000000000000e+02
7.103284820914268494e-03,1.730000000000000000e+02
7.086840923875570297e-03,1.740000000000000000e+02
7.067385595291852951e-03,1.750000000000000000e+02
7.060994859784841537e-03,1.760000000000000000e+02
7.093457505106925964e-03,1.770000000000000000e+02
7.086113095283508301e-03,1.780000000000000000e+02
7.118250709027051926e-03,1.790000000000000000e+02
7.164319511502981186e-03,1.800000000000000000e+02
7.212028373032808304e-03,1.810000000000000000e+02
6.875932216644287109e-03,1.820000000000000000e+02
6.347230635583400726e-03,1.830000000000000000e+02
5.749869160354137421e-03,1.840000000000000000e+02
5.228053778409957886e-03,1.850000000000000000e+02
4.778639413416385651e-03,1.860000000000000000e+02
4.383700434118509293e-03,1.870000000000000000e+02
4.066693130880594254e-03,1.880000000000000000e+02
3.786469576880335808e-03,1.890000000000000000e+02
