ax_clip,deltaf_clip_deg,timestep
5.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
4.490221500396728516e+00,7.000000000000000000e+00,2.000000000000000000e+00
4.220712184906005859e+00,3.362241506576538086e+00,3.000000000000000000e+00
4.457164764404296875e+00,-3.665299177169799805e+00,4.000000000000000000e+00
4.743990898132324219e+00,-7.000000000000000000e+00,5.000000000000000000e+00
4.199923992156982422e+00,-7.000000000000000000e+00,6.000000000000000000e+00
3.225517511367797852e+00,-7.000000000000000000e+00,7.000000000000000000e+00
2.667105913162231445e+00,-3.585145950317382812e+00,8.000000000000000000e+00
2.837206602096557617e+00,9.865818023681640625e-01,9.000000000000000000e+00
3.311953306198120117e+00,2.577919960021972656e+00,1.000000000000000000e+01
3.332993268966674805e+00,1.521520972251892090e+00,1.100000000000000000e+01
2.970321655273437500e+00,1.689658164978027344e+00,1.200000000000000000e+01
2.576668977737426758e+00,8.070700764656066895e-01,1.300000000000000000e+01
2.267188549041748047e+00,-7.153564095497131348e-01,1.400000000000000000e+01
2.048444509506225586e+00,-2.099400043487548828e+00,1.500000000000000000e+01
1.844416141510009766e+00,-2.556077241897583008e+00,1.600000000000000000e+01
1.625368952751159668e+00,-1.700686216354370117e+00,1.700000000000000000e+01
1.454867005348205566e+00,1.887549906969070435e-01,1.800000000000000000e+01
1.362631916999816895e+00,2.234213352203369141e+00,1.900000000000000000e+01
7.544199228286743164e-01,3.349349021911621094e+00,2.000000000000000000e+01
-5.268747732043266296e-02,2.797761440277099609e+00,2.100000000000000000e+01
-8.362610936164855957e-01,7.462828159332275391e-01,2.200000000000000000e+01
-1.367406129837036133e+00,-1.629590034484863281e+00,2.300000000000000000e+01
-1.805013656616210938e+00,-3.042668819427490234e+00,2.400000000000000000e+01
-2.312911033630371094e+00,-2.550083637237548828e+00,2.500000000000000000e+01
-2.839418411254882812e+00,-1.083090305328369141e-01,2.600000000000000000e+01
-3.282009840011596680e+00,3.274310588836669922e+00,2.700000000000000000e+01
-3.585515737533569336e+00,5.936885356903076172e+00,2.800000000000000000e+01
-3.942191600799560547e+00,6.381868839263916016e+00,2.900000000000000000e+01
-4.346016407012939453e+00,4.161160469055175781e+00,3.000000000000000000e+01
-4.379641056060791016e+00,3.184274733066558838e-01,3.100000000000000000e+01
-4.095552444458007812e+00,-2.950848340988159180e+00,3.200000000000000000e+01
-3.970913887023925781e+00,-3.411921024322509766e+00,3.300000000000000000e+01
-4.319019794464111328e+00,-3.049727678298950195e+00,3.400000000000000000e+01
-4.675379753112792969e+00,-9.586655497550964355e-01,3.500000000000000000e+01
-4.856117725372314453e+00,2.048788309097290039e+00,3.600000000000000000e+01
-4.923285484313964844e+00,4.374315738677978516e+00,3.700000000000000000e+01
-5.000000000000000000e+00,4.607263088226318359e+00,3.800000000000000000e+01
-5.000000000000000000e+00,2.396304130554199219e+00,3.900000000000000000e+01
-5.000000000000000000e+00,-1.225682020187377930e+00,4.000000000000000000e+01
-5.000000000000000000e+00,-4.344242095947265625e+00,4.100000000000000000e+01
-5.000000000000000000e+00,-5.191508293151855469e+00,4.200000000000000000e+01
-5.000000000000000000e+00,-3.122581958770751953e+00,4.300000000000000000e+01
-5.000000000000000000e+00,9.483832120895385742e-01,4.400000000000000000e+01
-5.000000000000000000e+00,4.899797916412353516e+00,4.500000000000000000e+01
-5.000000000000000000e+00,6.458319187164306641e+00,4.600000000000000000e+01
-5.000000000000000000e+00,4.567599773406982422e+00,4.700000000000000000e+01
-5.000000000000000000e+00,1.749566644430160522e-01,4.800000000000000000e+01
-5.000000000000000000e+00,-4.300076484680175781e+00,4.900000000000000000e+01
-5.000000000000000000e+00,-6.365193367004394531e+00,5.000000000000000000e+01
-5.000000000000000000e+00,-4.813944816589355469e+00,5.100000000000000000e+01
-5.000000000000000000e+00,-3.996725678443908691e-01,5.200000000000000000e+01
-5.000000000000000000e+00,4.497621536254882812e+00,5.300000000000000000e+01
-5.000000000000000000e+00,7.000000000000000000e+00,5.400000000000000000e+01
-5.000000000000000000e+00,5.766963481903076172e+00,5.500000000000000000e+01
-5.000000000000000000e+00,1.428794860839843750e+00,5.600000000000000000e+01
-5.000000000000000000e+00,-3.391143560409545898e+00,5.700000000000000000e+01
-5.000000000000000000e+00,-5.958115577697753906e+00,5.800000000000000000e+01
-5.000000000000000000e+00,-4.914342403411865234e+00,5.900000000000000000e+01
-5.000000000000000000e+00,-9.533112049102783203e-01,6.000000000000000000e+01
-5.000000000000000000e+00,2.065010547637939453e+00,6.100000000000000000e+01
-5.000000000000000000e+00,8.277143239974975586e-01,6.200000000000000000e+01
-5.000000000000000000e+00,-1.845942020416259766e+00,6.300000000000000000e+01
-5.000000000000000000e+00,-3.836606264114379883e+00,6.400000000000000000e+01
-5.000000000000000000e+00,-3.974163770675659180e+00,6.500000000000000000e+01
-5.000000000000000000e+00,-2.153554201126098633e+00,6.600000000000000000e+01
-5.000000000000000000e+00,-2.452003717422485352e+00,6.700000000000000000e+01
-5.000000000000000000e+00,-3.656002521514892578e+00,6.800000000000000000e+01
-5.000000000000000000e+00,-4.001281261444091797e+00,6.900000000000000000e+01
-5.000000000000000000e+00,-2.856364488601684570e+00,7.000000000000000000e+01
-4.473958015441894531e+00,-6.276116967201232910e-01,7.100000000000000000e+01
-3.980535268783569336e+00,1.709236979484558105e+00,7.200000000000000000e+01
-3.572268962860107422e+00,3.312402486801147461e+00,7.300000000000000000e+01
-3.251111745834350586e+00,3.967823982238769531e+00,7.400000000000000000e+01
-2.966546773910522461e+00,4.107965469360351562e+00,7.500000000000000000e+01
-2.685052156448364258e+00,4.461581230163574219e+00,7.600000000000000000e+01
-2.413582324981689453e+00,5.684359550476074219e+00,7.700000000000000000e+01
-2.174347162246704102e+00,7.000000000000000000e+00,7.800000000000000000e+01
-1.984921097755432129e+00,7.000000000000000000e+00,7.900000000000000000e+01
-1.815051198005676270e+00,3.873339891433715820e+00,8.000000000000000000e+01
-1.588573575019836426e+00,-1.337560534477233887e+00,8.100000000000000000e+01
-1.360697388648986816e+00,-4.889329433441162109e+00,8.200000000000000000e+01
-1.293232440948486328e+00,-5.352906227111816406e+00,8.300000000000000000e+01
-1.271923542022705078e+00,-3.415357351303100586e+00,8.400000000000000000e+01
-1.158069729804992676e+00,-8.225999474525451660e-01,8.500000000000000000e+01
-1.009015560150146484e+00,8.639416694641113281e-01,8.600000000000000000e+01
-9.008457064628601074e-01,1.055653452873229980e+00,8.700000000000000000e+01
-8.186116814613342285e-01,2.063092738389968872e-01,8.800000000000000000e+01
-7.365592718124389648e-01,7.000000000000000000e+00,8.900000000000000000e+01
-6.567081212997436523e-01,7.000000000000000000e+00,9.000000000000000000e+01
-7.643100619316101074e-01,7.000000000000000000e+00,9.100000000000000000e+01
-7.488214969635009766e-01,7.000000000000000000e+00,9.200000000000000000e+01
-6.947610974311828613e-01,-7.000000000000000000e+00,9.300000000000000000e+01
-4.526562392711639404e-01,-7.000000000000000000e+00,9.400000000000000000e+01
-7.332924604415893555e-01,-7.000000000000000000e+00,9.500000000000000000e+01
-7.706493735313415527e-01,-7.000000000000000000e+00,9.600000000000000000e+01
-7.223923802375793457e-01,-7.000000000000000000e+00,9.700000000000000000e+01
-6.642986536026000977e-01,-7.000000000000000000e+00,9.800000000000000000e+01
-6.115599274635314941e-01,-7.000000000000000000e+00,9.900000000000000000e+01
-5.655512809753417969e-01,-7.000000000000000000e+00,1.000000000000000000e+02
-5.255573987960815430e-01,-7.000000000000000000e+00,1.010000000000000000e+02
-4.907605051994323730e-01,-7.000000000000000000e+00,1.020000000000000000e+02
-4.604730904102325439e-01,-7.000000000000000000e+00,1.030000000000000000e+02
-4.340973198413848877e-01,-6.119380950927734375e+00,1.040000000000000000e+02
-3.991894125938415527e-01,-7.000000000000000000e+00,1.050000000000000000e+02
-3.650224208831787109e-01,-7.000000000000000000e+00,1.060000000000000000e+02
-3.668543994426727295e-01,-7.000000000000000000e+00,1.070000000000000000e+02
