cost_real_0,cost_real_1,cost_real_2,timestep
-1.000000000000000000e+00,-3.938093948364257812e+01,-8.214926719665527344e-01,0.000000000000000000e+00
-1.000000000000000000e+00,-3.853461074829101562e+01,-8.214884996414184570e-01,1.000000000000000000e+00
-1.000000000000000000e+00,-3.763136291503906250e+01,-7.674781084060668945e-01,2.000000000000000000e+00
-1.000000000000000000e+00,-3.673625946044921875e+01,-6.552917957305908203e-01,3.000000000000000000e+00
-1.000000000000000000e+00,-3.541555023193359375e+01,-5.262386798858642578e-01,4.000000000000000000e+00
-1.000000000000000000e+00,-3.418782806396484375e+01,-4.265708923339843750e-01,5.000000000000000000e+00
-1.000000000000000000e+00,-3.323831176757812500e+01,-4.026921987533569336e-01,6.000000000000000000e+00
-1.000000000000000000e+00,-3.257899093627929688e+01,-4.985829591751098633e-01,7.000000000000000000e+00
-1.000000000000000000e+00,-3.199923706054687500e+01,-7.327347993850708008e-01,8.000000000000000000e+00
-1.000000000000000000e+00,-3.136923980712890625e+01,-1.103450059890747070e+00,9.000000000000000000e+00
-1.000000000000000000e+00,-3.060728836059570312e+01,-1.563847780227661133e+00,1.000000000000000000e+01
-1.000000000000000000e+00,-2.973419761657714844e+01,-1.844850301742553711e+00,1.100000000000000000e+01
-1.000000000000000000e+00,-2.884432411193847656e+01,-2.057645082473754883e+00,1.200000000000000000e+01
-1.000000000000000000e+00,-2.794970321655273438e+01,-2.223886251449584961e+00,1.300000000000000000e+01
-1.000000000000000000e+00,-2.704358482360839844e+01,-2.290405035018920898e+00,1.400000000000000000e+01
-1.000000000000000000e+00,-2.609872817993164062e+01,-2.244048595428466797e+00,1.500000000000000000e+01
-1.000000000000000000e+00,-2.517588424682617188e+01,-2.216108083724975586e+00,1.600000000000000000e+01
-1.000000000000000000e+00,-2.429849243164062500e+01,-2.243830919265747070e+00,1.700000000000000000e+01
-1.000000000000000000e+00,-2.338520431518554688e+01,-2.318606138229370117e+00,1.800000000000000000e+01
-1.000000000000000000e+00,-2.245663833618164062e+01,-2.252588510513305664e+00,1.900000000000000000e+01
-1.000000000000000000e+00,-2.152670288085937500e+01,-2.245294570922851562e+00,2.000000000000000000e+01
-1.000000000000000000e+00,-2.059983634948730469e+01,-2.307771682739257812e+00,2.100000000000000000e+01
-1.000000000000000000e+00,-5.988109970092773438e+01,-2.423251628875732422e+00,2.200000000000000000e+01
-1.000000000000000000e+00,-1.869812393188476562e+01,-2.332563638687133789e+00,2.300000000000000000e+01
-1.000000000000000000e+00,-1.772577285766601562e+01,-2.194936513900756836e+00,2.400000000000000000e+01
-1.000000000000000000e+00,-1.679286956787109375e+01,-2.130200862884521484e+00,2.500000000000000000e+01
-1.000000000000000000e+00,-1.590057373046875000e+01,-2.163341999053955078e+00,2.600000000000000000e+01
-1.000000000000000000e+00,-1.806967735290527344e+01,-2.277235269546508789e+00,2.700000000000000000e+01
-1.000000000000000000e+00,-1.412318992614746094e+01,-2.345206975936889648e+00,2.800000000000000000e+01
-1.000000000000000000e+00,-1.321012878417968750e+01,-2.430022716522216797e+00,2.900000000000000000e+01
-1.000000000000000000e+00,-1.223930358886718750e+01,-2.317070484161376953e+00,3.000000000000000000e+01
-1.000000000000000000e+00,-1.121282482147216797e+01,-2.113098382949829102e+00,3.100000000000000000e+01
-1.000000000000000000e+00,-1.319651699066162109e+01,-1.914710044860839844e+00,3.200000000000000000e+01
-1.000000000000000000e+00,-9.210673332214355469e+00,-1.797420978546142578e+00,3.300000000000000000e+01
-1.000000000000000000e+00,-8.352260589599609375e+00,-1.800741195678710938e+00,3.400000000000000000e+01
-1.000000000000000000e+00,-7.559533119201660156e+00,-1.922776699066162109e+00,3.500000000000000000e+01
-1.000000000000000000e+00,-6.793227672576904297e+00,-2.137285709381103516e+00,3.600000000000000000e+01
-1.000000000000000000e+00,-6.014554977416992188e+00,-2.382976055145263672e+00,3.700000000000000000e+01
