reward,timestep
1.114999968558549881e-02,0.000000000000000000e+00
1.070135738700628281e-02,1.000000000000000000e+00
9.946217760443687439e-03,2.000000000000000000e+00
5.824773106724023819e-03,3.000000000000000000e+00
6.343361455947160721e-03,4.000000000000000000e+00
1.027471385896205902e-02,5.000000000000000000e+00
9.552117437124252319e-03,6.000000000000000000e+00
8.383736014366149902e-03,7.000000000000000000e+00
4.850079305469989777e-03,8.000000000000000000e+00
5.351435393095016479e-03,9.000000000000000000e+00
8.388536050915718079e-03,1.000000000000000000e+01
1.021384354680776596e-02,1.100000000000000000e+01
1.183502934873104095e-02,1.200000000000000000e+01
1.247226074337959290e-02,1.300000000000000000e+01
1.284566801041364670e-02,1.400000000000000000e+01
1.329468283802270889e-02,1.500000000000000000e+01
1.337648648768663406e-02,1.600000000000000000e+01
1.286478526890277863e-02,1.700000000000000000e+01
1.257961243391036987e-02,1.800000000000000000e+01
1.328439172357320786e-02,1.900000000000000000e+01
1.416076812893152237e-02,2.000000000000000000e+01
1.411024015396833420e-02,2.100000000000000000e+01
1.356278825551271439e-02,2.200000000000000000e+01
1.370448246598243713e-02,2.300000000000000000e+01
1.408322155475616455e-02,2.400000000000000000e+01
1.354895159602165222e-02,2.500000000000000000e+01
1.289007160812616348e-02,2.600000000000000000e+01
1.429007388651371002e-02,2.700000000000000000e+01
1.734375208616256714e-02,2.800000000000000000e+01
1.868305541574954987e-02,2.900000000000000000e+01
1.707367226481437683e-02,3.000000000000000000e+01
1.555547211319208145e-02,3.100000000000000000e+01
1.611993089318275452e-02,3.200000000000000000e+01
1.614056527614593506e-02,3.300000000000000000e+01
1.622111536562442780e-02,3.400000000000000000e+01
1.628902927041053772e-02,3.500000000000000000e+01
1.794326677918434143e-02,3.600000000000000000e+01
2.107163146138191223e-02,3.700000000000000000e+01
2.307314611971378326e-02,3.800000000000000000e+01
2.320524305105209351e-02,3.900000000000000000e+01
2.414423227310180664e-02,4.000000000000000000e+01
2.695200592279434204e-02,4.100000000000000000e+01
2.873728051781654358e-02,4.200000000000000000e+01
2.817767299711704254e-02,4.300000000000000000e+01
2.877159230411052704e-02,4.400000000000000000e+01
3.287713974714279175e-02,4.500000000000000000e+01
3.662937134504318237e-02,4.600000000000000000e+01
3.643137961626052856e-02,4.700000000000000000e+01
3.588913381099700928e-02,4.800000000000000000e+01
3.885035589337348938e-02,4.900000000000000000e+01
4.198364168405532837e-02,5.000000000000000000e+01
4.132166132330894470e-02,5.100000000000000000e+01
4.042774438858032227e-02,5.200000000000000000e+01
4.419549182057380676e-02,5.300000000000000000e+01
4.904139786958694458e-02,5.400000000000000000e+01
4.939632117748260498e-02,5.500000000000000000e+01
4.787249490618705750e-02,5.600000000000000000e+01
5.002209171652793884e-02,5.700000000000000000e+01
5.341447889804840088e-02,5.800000000000000000e+01
5.337821319699287415e-02,5.900000000000000000e+01
5.244589596986770630e-02,6.000000000000000000e+01
5.447898432612419128e-02,6.100000000000000000e+01
5.599223077297210693e-02,6.200000000000000000e+01
5.800661817193031311e-02,6.300000000000000000e+01
6.048962846398353577e-02,6.400000000000000000e+01
6.167457997798919678e-02,6.500000000000000000e+01
6.155788898468017578e-02,6.600000000000000000e+01
6.272320449352264404e-02,6.700000000000000000e+01
6.449586898088455200e-02,6.800000000000000000e+01
6.559834629297256470e-02,6.900000000000000000e+01
6.542242318391799927e-02,7.000000000000000000e+01
6.483851373195648193e-02,7.100000000000000000e+01
6.524176150560379028e-02,7.200000000000000000e+01
6.617227196693420410e-02,7.300000000000000000e+01
6.671730428934097290e-02,7.400000000000000000e+01
6.683428585529327393e-02,7.500000000000000000e+01
6.711838394403457642e-02,7.600000000000000000e+01
6.840419024229049683e-02,7.700000000000000000e+01
7.026650011539459229e-02,7.800000000000000000e+01
7.066934555768966675e-02,7.900000000000000000e+01
6.786883622407913208e-02,8.000000000000000000e+01
6.728797405958175659e-02,8.100000000000000000e+01
7.031735777854919434e-02,8.200000000000000000e+01
7.170340418815612793e-02,8.300000000000000000e+01
7.106586545705795288e-02,8.400000000000000000e+01
7.113181799650192261e-02,8.500000000000000000e+01
7.231210917234420776e-02,8.600000000000000000e+01
7.344322651624679565e-02,8.700000000000000000e+01
7.430639863014221191e-02,8.800000000000000000e+01
8.006285130977630615e-02,8.900000000000000000e+01
8.087278902530670166e-02,9.000000000000000000e+01
8.203760534524917603e-02,9.100000000000000000e+01
8.307303488254547119e-02,9.200000000000000000e+01
8.422463387250900269e-02,9.300000000000000000e+01
8.556427806615829468e-02,9.400000000000000000e+01
8.654330670833587646e-02,9.500000000000000000e+01
8.802507817745208740e-02,9.600000000000000000e+01
8.948845416307449341e-02,9.700000000000000000e+01
9.076821058988571167e-02,9.800000000000000000e+01
9.182758629322052002e-02,9.900000000000000000e+01
9.266246110200881958e-02,1.000000000000000000e+02
9.327493607997894287e-02,1.010000000000000000e+02
9.366317838430404663e-02,1.020000000000000000e+02
9.382931888103485107e-02,1.030000000000000000e+02
9.262020885944366455e-02,1.040000000000000000e+02
9.350013732910156250e-02,1.050000000000000000e+02
9.304493665695190430e-02,1.060000000000000000e+02
9.231863915920257568e-02,1.070000000000000000e+02
9.140592068433761597e-02,1.080000000000000000e+02
8.862237632274627686e-02,1.090000000000000000e+02
8.419325947761535645e-02,1.100000000000000000e+02
8.343934267759323120e-02,1.110000000000000000e+02
8.299846947193145752e-02,1.120000000000000000e+02
8.064288645982742310e-02,1.130000000000000000e+02
7.795710116624832153e-02,1.140000000000000000e+02
7.594326138496398926e-02,1.150000000000000000e+02
7.421039789915084839e-02,1.160000000000000000e+02
7.258543372154235840e-02,1.170000000000000000e+02
7.116613537073135376e-02,1.180000000000000000e+02
6.979407370090484619e-02,1.190000000000000000e+02
6.829723715782165527e-02,1.200000000000000000e+02
6.673543900251388550e-02,1.210000000000000000e+02
6.521537899971008301e-02,1.220000000000000000e+02
6.377185136079788208e-02,1.230000000000000000e+02
6.240189447999000549e-02,1.240000000000000000e+02
6.108493730425834656e-02,1.250000000000000000e+02
5.980341881513595581e-02,1.260000000000000000e+02
5.853233858942985535e-02,1.270000000000000000e+02
5.727180838584899902e-02,1.280000000000000000e+02
5.603310093283653259e-02,1.290000000000000000e+02
5.482316389679908752e-02,1.300000000000000000e+02
5.365040153264999390e-02,1.310000000000000000e+02
5.250562354922294617e-02,1.320000000000000000e+02
5.140009894967079163e-02,1.330000000000000000e+02
5.032850801944732666e-02,1.340000000000000000e+02
4.928428307175636292e-02,1.350000000000000000e+02
4.826648160815238953e-02,1.360000000000000000e+02
4.726332426071166992e-02,1.370000000000000000e+02
4.628391936421394348e-02,1.380000000000000000e+02
4.532767087221145630e-02,1.390000000000000000e+02
4.437367990612983704e-02,1.400000000000000000e+02
4.345320165157318115e-02,1.410000000000000000e+02
4.255357757210731506e-02,1.420000000000000000e+02
4.165360331535339355e-02,1.430000000000000000e+02
4.078601673245429993e-02,1.440000000000000000e+02
3.993583470582962036e-02,1.450000000000000000e+02
3.910224512219429016e-02,1.460000000000000000e+02
3.828486800193786621e-02,1.470000000000000000e+02
3.748351708054542542e-02,1.480000000000000000e+02
3.669825568795204163e-02,1.490000000000000000e+02
3.592957928776741028e-02,1.500000000000000000e+02
3.519323840737342834e-02,1.510000000000000000e+02
3.444990888237953186e-02,1.520000000000000000e+02
3.372570499777793884e-02,1.530000000000000000e+02
3.303108736872673035e-02,1.540000000000000000e+02
3.235622122883796692e-02,1.550000000000000000e+02
3.166528791189193726e-02,1.560000000000000000e+02
3.101363405585289001e-02,1.570000000000000000e+02
3.037593327462673187e-02,1.580000000000000000e+02
2.975043840706348419e-02,1.590000000000000000e+02
2.913606725633144379e-02,1.600000000000000000e+02
2.853242866694927216e-02,1.610000000000000000e+02
2.793991193175315857e-02,1.620000000000000000e+02
2.735984884202480316e-02,1.630000000000000000e+02
2.679462917149066925e-02,1.640000000000000000e+02
2.626160904765129089e-02,1.650000000000000000e+02
2.571517974138259888e-02,1.660000000000000000e+02
2.520347386598587036e-02,1.670000000000000000e+02
2.470580115914344788e-02,1.680000000000000000e+02
2.418709173798561096e-02,1.690000000000000000e+02
2.370520681142807007e-02,1.700000000000000000e+02
2.323355711996555328e-02,1.710000000000000000e+02
2.277202159166336060e-02,1.720000000000000000e+02
2.234903909265995026e-02,1.730000000000000000e+02
2.189686894416809082e-02,1.740000000000000000e+02
2.145823091268539429e-02,1.750000000000000000e+02
2.105962485074996948e-02,1.760000000000000000e+02
2.063554339110851288e-02,1.770000000000000000e+02
2.024923823773860931e-02,1.780000000000000000e+02
1.987244188785552979e-02,1.790000000000000000e+02
1.950213313102722168e-02,1.800000000000000000e+02
1.913698762655258179e-02,1.810000000000000000e+02
1.877765916287899017e-02,1.820000000000000000e+02
1.842699758708477020e-02,1.830000000000000000e+02
1.812254078686237335e-02,1.840000000000000000e+02
1.777529343962669373e-02,1.850000000000000000e+02
1.748110540211200714e-02,1.860000000000000000e+02
1.715061813592910767e-02,1.870000000000000000e+02
1.686166785657405853e-02,1.880000000000000000e+02
1.657942868769168854e-02,1.890000000000000000e+02
